Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
24,4.073000,262144.000000,495892.211274,213232.000000
24,4.639000,32768.000000,670211.325450,311334.000000
24,5.649000,4096.000000,1095284.439131,298145.000000
24,7.918000,512.000000,2408262.819260,298632.000000
24,16.772000,64.000000,5523333.626124,295451.000000
24,30.000000,6.000000,6627605.813053,299268.000000
24,30.000000,9.000000,6152801.507762,299532.000000
24,30.000000,12.000000,5828467.529058,296691.000000
24,30.000000,15.000000,5861751.341764,298850.000000
24,30.000000,18.000000,5552376.462410,304987.000000
