Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
20,4.073000,262144.000000,493531.762214,204143.000000
20,4.639000,32768.000000,1195392.079338,244412.000000
20,5.649000,4096.000000,1967551.392846,293202.000000
20,7.918000,512.000000,3622991.089985,294373.000000
20,16.772000,64.000000,7326753.944445,298404.000000
20,30.000000,6.000000,8555928.259741,299262.000000
20,30.000000,9.000000,7995638.902498,303572.000000
20,30.000000,12.000000,7474183.235652,299315.000000
20,30.000000,15.000000,7230735.180497,302562.000000
20,30.000000,18.000000,6984492.652675,301448.000000
