Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
20,4.073000,262144.000000,3652899.275408,227845.000000
20,4.639000,32768.000000,1037639.441091,279607.000000
20,5.649000,4096.000000,1869164.955021,294334.000000
20,7.918000,512.000000,3262846.622152,279164.000000
20,16.772000,64.000000,7336480.434754,298708.000000
20,30.000000,6.000000,8356503.182944,295319.000000
20,30.000000,9.000000,8012140.208378,302714.000000
20,30.000000,12.000000,7575888.501792,298193.000000
20,30.000000,15.000000,7337546.505639,301246.000000
20,30.000000,18.000000,7071136.316695,305017.000000
