Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
26,4.073000,262144.000000,299101.073893,50722.000000
26,4.639000,32768.000000,347883.040186,172335.000000
26,5.649000,4096.000000,848742.603739,260059.000000
26,7.918000,512.000000,1909104.852680,287347.000000
26,16.772000,64.000000,4728125.848845,298562.000000
26,30.000000,6.000000,5548601.045846,303364.000000
26,30.000000,9.000000,5314516.590637,296960.000000
26,30.000000,12.000000,4798474.962153,301886.000000
26,30.000000,15.000000,4642700.673541,300989.000000
26,30.000000,18.000000,4806476.370834,305106.000000
