Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
20,4.073000,262144.000000,717126.145506,331730.000000
20,4.639000,32768.000000,928181.494581,268788.000000
20,5.649000,4096.000000,1783597.607504,270408.000000
20,7.918000,512.000000,3549315.983022,295687.000000
20,16.772000,64.000000,7344464.433152,299271.000000
20,30.000000,6.000000,8574743.253376,301402.000000
20,30.000000,9.000000,7825776.492562,297134.000000
20,30.000000,12.000000,7400582.357774,300862.000000
20,30.000000,15.000000,7332813.850730,302961.000000
20,30.000000,18.000000,7138486.792729,296997.000000
