Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
28,4.073000,262144.000000,1501309.764785,260506.000000
28,4.639000,32768.000000,485223.230459,184965.000000
28,5.649000,4096.000000,620102.104725,246785.000000
28,7.918000,512.000000,1360599.796979,277544.000000
28,16.772000,64.000000,3325443.675323,295273.000000
28,30.000000,6.000000,4119227.571335,302284.000000
28,30.000000,9.000000,3645887.843592,293650.000000
28,30.000000,12.000000,3659538.570410,298352.000000
28,30.000000,15.000000,3172659.437034,285390.000000
28,30.000000,18.000000,3443122.845920,300637.000000
