Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
36,4.073000,262144.000000,435923.313398,105032.000000
36,4.639000,32768.000000,272653.721541,29750.000000
36,5.649000,4096.000000,91002.132728,25254.000000
36,7.918000,512.000000,35158.568956,13817.000000
36,16.772000,64.000000,22587.292069,5324.000000
36,30.000000,6.000000,30234.797171,6491.000000
36,30.000000,9.000000,22308.202864,5451.000000
36,30.000000,12.000000,24518.316847,5750.000000
36,30.000000,15.000000,25792.325642,4915.000000
36,30.000000,18.000000,30878.295597,6815.000000
