Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
28,4.073000,262144.000000,463743.435500,50977.000000
28,4.639000,32768.000000,727777.340606,68741.000000
28,5.649000,4096.000000,665871.483471,297681.000000
28,7.918000,512.000000,1298379.172783,283849.000000
28,16.772000,64.000000,3495963.348943,292690.000000
28,30.000000,6.000000,4041626.136320,295240.000000
28,30.000000,9.000000,3893993.194700,302444.000000
28,30.000000,12.000000,3862749.149893,306235.000000
28,30.000000,15.000000,3541573.078704,300570.000000
28,30.000000,18.000000,3315124.326898,299053.000000
