Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
40,4.073000,262144.000000,4428471.238379,206096.000000
40,4.639000,32768.000000,388471.975644,39635.000000
40,5.649000,4096.000000,72947.284377,10942.000000
40,7.918000,512.000000,22102.415026,5512.000000
40,16.772000,64.000000,10358.725308,1562.000000
40,30.000000,6.000000,12212.153782,2256.000000
40,30.000000,9.000000,12483.721601,1711.000000
40,30.000000,12.000000,12283.029879,2009.000000
40,30.000000,15.000000,12767.794602,2218.000000
40,30.000000,18.000000,14283.469607,2236.000000
