Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
38,4.073000,262144.000000,159484.254301,13498.000000
38,4.639000,32768.000000,136908.990541,12619.000000
38,5.649000,4096.000000,110682.766414,38002.000000
38,7.918000,512.000000,23346.952949,4901.000000
38,16.772000,64.000000,15788.150715,4556.000000
38,30.000000,6.000000,15870.183836,2793.000000
38,30.000000,9.000000,15350.289574,2376.000000
38,30.000000,12.000000,19948.144475,5319.000000
38,30.000000,15.000000,24822.603610,11453.000000
38,30.000000,18.000000,18736.661095,5056.000000
