Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
32,4.073000,262144.000000,478103.180559,64184.000000
32,4.639000,32768.000000,758157.580872,100328.000000
32,5.649000,4096.000000,147299.195687,88439.000000
32,7.918000,512.000000,80555.850048,26113.000000
32,16.772000,64.000000,97045.516002,30381.000000
32,30.000000,6.000000,100608.531835,23917.000000
32,30.000000,9.000000,121934.942662,46166.000000
32,30.000000,12.000000,175117.908210,53808.000000
32,30.000000,15.000000,139794.292773,49126.000000
32,30.000000,18.000000,96812.416544,25041.000000
