Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
26,4.073000,262144.000000,422708.915191,212003.000000
26,4.639000,32768.000000,582948.346985,265920.000000
26,5.649000,4096.000000,944235.238854,254862.000000
26,7.918000,512.000000,1816337.222094,288622.000000
26,16.772000,64.000000,4470173.600404,292132.000000
26,30.000000,6.000000,5564554.024402,299346.000000
26,30.000000,9.000000,5085784.585652,301057.000000
26,30.000000,12.000000,4777262.982292,302229.000000
26,30.000000,15.000000,4326623.393579,299337.000000
26,30.000000,18.000000,4769583.038662,304106.000000
