frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,265641.687175,113238.000000,335.514530
4,156231.328219,78527.000000,1111.418013
8,92494.559651,57831.000000,334.560906
16,694729.523436,436185.000000,1544.231200
32,244782.388905,93342.000000,3635.579321
64,424710.879844,280594.000000,10708.686054
128,392082.741060,147503.000000,4187.899832
256,196038.023743,84907.000000,10401.694381
512,286578.203116,100292.000000,23726.860496
1024,342076.437445,272642.000000,4664.522591
2048,669383.127939,334410.000000,49489.997909
4096,582608.181996,183816.000000,196650.686760
8192,305908.858747,81996.000000,171144.392079
16384,334479.047501,120855.000000,219978.926182
32768,2370612.285008,116670.000000,1456251.789395
65536,1893432.671133,120016.000000,1859025.440850
