frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,80554.543503,26222.000000,135.155466
4,277421.777673,115569.000000,974.353632
8,244816.467089,130580.000000,346.020231
16,285563.938765,98062.000000,59.682493
32,69336.539984,16979.000000,3093.023763
64,609078.046099,280304.000000,16161.543800
128,784908.836071,234243.000000,45634.572059
256,339373.854304,216894.000000,41208.422513
512,363973.232071,167576.000000,21466.993525
1024,253925.294305,110340.000000,8766.200602
2048,258292.775865,125890.000000,127484.111175
4096,318867.974682,78244.000000,135234.625862
8192,1689927.786371,244093.000000,915225.313530
16384,309223.674558,94611.000000,119274.941589
32768,2169626.094897,181664.000000,1018307.081605
65536,3894657.258799,92271.000000,1943435.843135
