arrival_rate,bp_L,bp_H,FCFS_percentage,BAL_percentage,total_rounds
40.00,30.00,6.00,99.75,0.25,400
40.00,30.00,9.00,99.75,0.25,400
38.00,16.77,64.00,99.75,0.25,400
38.00,30.00,9.00,99.75,0.25,400
38.00,30.00,15.00,99.75,0.25,400
36.00,7.92,512.00,0.00,100.00,400
40.00,16.77,64.00,99.75,0.25,400
34.00,30.00,6.00,99.75,0.25,400
38.00,7.92,512.00,0.00,100.00,400
38.00,30.00,12.00,99.75,0.25,400
38.00,30.00,6.00,99.75,0.25,400
40.00,7.92,512.00,0.00,100.00,400
36.00,30.00,15.00,99.50,0.50,400
36.00,16.77,64.00,99.75,0.25,400
40.00,30.00,12.00,99.75,0.25,400
36.00,5.65,4096.00,0.00,100.00,400
36.00,30.00,9.00,99.75,0.25,400
40.00,30.00,15.00,99.50,0.50,400
40.00,4.07,262144.00,0.00,100.00,400
32.00,16.77,64.00,99.75,0.25,400
38.00,30.00,18.00,99.00,1.00,400
38.00,4.07,262144.00,0.00,100.00,400
36.00,30.00,12.00,99.25,0.75,400
36.00,30.00,6.00,99.75,0.25,400
40.00,30.00,18.00,99.50,0.50,400
34.00,30.00,18.00,99.00,1.00,400
34.00,30.00,15.00,99.75,0.25,400
38.00,5.65,4096.00,0.00,100.00,400
34.00,7.92,512.00,0.00,100.00,400
32.00,7.92,512.00,0.00,100.00,400
34.00,16.77,64.00,99.75,0.25,400
36.00,30.00,18.00,99.75,0.25,400
32.00,30.00,9.00,99.75,0.25,400
28.00,4.07,262144.00,0.00,100.00,400
34.00,5.65,4096.00,0.00,100.00,400
34.00,30.00,12.00,99.50,0.50,400
40.00,4.64,32768.00,0.00,100.00,400
32.00,30.00,18.00,99.75,0.25,400
40.00,5.65,4096.00,0.00,100.00,400
32.00,30.00,12.00,99.75,0.25,400
34.00,4.07,262144.00,0.00,100.00,400
32.00,30.00,15.00,99.75,0.25,400
38.00,4.64,32768.00,0.00,100.00,400
34.00,30.00,9.00,99.75,0.25,400
32.00,30.00,6.00,99.75,0.25,400
30.00,7.92,512.00,42.75,57.25,400
34.00,4.64,32768.00,0.00,100.00,400
32.00,4.64,32768.00,0.00,100.00,400
36.00,4.07,262144.00,0.00,100.00,400
22.00,4.07,262144.00,0.00,100.00,400
32.00,5.65,4096.00,0.00,100.00,400
30.00,30.00,18.00,99.25,0.75,400
30.00,4.64,32768.00,0.25,99.75,400
30.00,5.65,4096.00,0.00,100.00,400
32.00,4.07,262144.00,0.00,100.00,400
30.00,4.07,262144.00,0.00,100.00,400
26.00,4.64,32768.00,0.00,100.00,400
30.00,30.00,12.00,99.75,0.25,400
30.00,16.77,64.00,99.75,0.25,400
30.00,30.00,9.00,99.75,0.25,400
30.00,30.00,15.00,99.75,0.25,400
28.00,5.65,4096.00,0.00,100.00,400
20.00,4.07,262144.00,0.00,100.00,400
36.00,4.64,32768.00,0.00,100.00,400
28.00,7.92,512.00,0.00,100.00,400
28.00,4.64,32768.00,0.00,100.00,400
30.00,30.00,6.00,99.75,0.25,400
24.00,4.07,262144.00,0.00,100.00,400
26.00,4.07,262144.00,0.00,100.00,400
24.00,4.64,32768.00,0.00,100.00,400
26.00,7.92,512.00,0.00,100.00,400
20.00,4.64,32768.00,0.00,100.00,400
26.00,5.65,4096.00,0.00,100.00,400
22.00,5.65,4096.00,0.00,100.00,400
24.00,7.92,512.00,0.00,100.00,400
28.00,16.77,64.00,99.75,0.25,400
28.00,30.00,9.00,99.75,0.25,400
28.00,30.00,15.00,92.50,7.50,400
24.00,5.65,4096.00,0.00,100.00,400
22.00,4.64,32768.00,0.00,100.00,400
20.00,5.65,4096.00,0.00,100.00,400
28.00,30.00,12.00,99.75,0.25,400
28.00,30.00,6.00,99.75,0.25,400
28.00,30.00,18.00,70.50,29.50,400
26.00,30.00,12.00,99.75,0.25,400
22.00,7.92,512.00,0.00,100.00,400
26.00,30.00,9.00,99.75,0.25,400
26.00,30.00,15.00,84.25,15.75,400
26.00,30.00,18.00,69.25,30.75,400
26.00,16.77,64.00,99.75,0.25,400
20.00,7.92,512.00,0.00,100.00,400
22.00,30.00,12.00,91.25,8.75,400
24.00,30.00,12.00,99.75,0.25,400
26.00,30.00,6.00,99.75,0.25,400
24.00,30.00,15.00,78.00,22.00,400
24.00,16.77,64.00,95.00,5.00,400
24.00,30.00,18.00,60.75,39.25,400
24.00,30.00,6.00,99.75,0.25,400
22.00,30.00,18.00,58.50,41.50,400
24.00,30.00,9.00,99.75,0.25,400
22.00,30.00,15.00,74.00,26.00,400
22.00,30.00,6.00,99.75,0.25,400
20.00,30.00,18.00,30.00,70.00,400
22.00,16.77,64.00,82.00,18.00,400
22.00,30.00,9.00,99.75,0.25,400
20.00,30.00,9.00,99.75,0.25,400
20.00,30.00,12.00,87.25,12.75,400
20.00,30.00,15.00,65.25,34.75,400
20.00,16.77,64.00,71.25,28.75,400
20.00,30.00,6.00,99.75,0.25,400
34.00,7.92,512.00,0.00,100.00,400
40.00,30.00,15.00,99.50,0.50,400
38.00,16.77,64.00,99.75,0.25,400
38.00,30.00,9.00,99.75,0.25,400
38.00,30.00,6.00,99.75,0.25,400
36.00,30.00,18.00,99.75,0.25,400
38.00,5.65,4096.00,0.00,100.00,400
36.00,30.00,6.00,99.75,0.25,400
40.00,16.77,64.00,99.75,0.25,400
40.00,30.00,9.00,99.75,0.25,400
38.00,30.00,12.00,99.75,0.25,400
40.00,30.00,18.00,99.50,0.50,400
38.00,30.00,15.00,99.50,0.50,400
38.00,30.00,18.00,98.25,1.75,400
32.00,16.77,64.00,99.75,0.25,400
40.00,30.00,12.00,99.75,0.25,400
36.00,30.00,9.00,99.75,0.25,400
32.00,30.00,12.00,99.75,0.25,400
40.00,7.92,512.00,0.00,100.00,400
34.00,30.00,18.00,99.75,0.25,400
38.00,7.92,512.00,0.00,100.00,400
36.00,7.92,512.00,0.00,100.00,400
34.00,30.00,12.00,99.75,0.25,400
38.00,4.07,262144.00,0.00,100.00,400
30.00,4.07,262144.00,0.00,100.00,400
40.00,5.65,4096.00,0.00,100.00,400
40.00,30.00,6.00,99.75,0.25,400
36.00,30.00,15.00,99.75,0.25,400
36.00,16.77,64.00,99.75,0.25,400
32.00,30.00,18.00,99.25,0.75,400
34.00,30.00,6.00,99.75,0.25,400
36.00,30.00,12.00,99.75,0.25,400
32.00,30.00,15.00,99.75,0.25,400
32.00,30.00,6.00,99.75,0.25,400
36.00,5.65,4096.00,0.00,100.00,400
34.00,30.00,9.00,99.75,0.25,400
38.00,4.64,32768.00,0.25,99.75,400
32.00,30.00,9.00,99.75,0.25,400
36.00,4.64,32768.00,0.00,100.00,400
34.00,16.77,64.00,99.75,0.25,400
34.00,30.00,15.00,99.75,0.25,400
40.00,4.07,262144.00,0.00,100.00,400
32.00,7.92,512.00,0.00,100.00,400
26.00,4.07,262144.00,0.00,100.00,400
28.00,4.07,262144.00,0.00,100.00,400
32.00,4.64,32768.00,0.00,100.00,400
32.00,4.07,262144.00,0.00,100.00,400
28.00,4.64,32768.00,0.00,100.00,400
40.00,4.64,32768.00,0.25,99.75,400
32.00,5.65,4096.00,0.00,100.00,400
34.00,5.65,4096.00,0.00,100.00,400
34.00,4.07,262144.00,0.00,100.00,400
24.00,4.07,262144.00,0.00,100.00,400
30.00,7.92,512.00,32.75,67.25,400
36.00,4.07,262144.00,0.00,100.00,400
34.00,4.64,32768.00,0.00,100.00,400
30.00,30.00,9.00,99.75,0.25,400
22.00,4.07,262144.00,0.00,100.00,400
30.00,30.00,6.00,99.75,0.25,400
30.00,30.00,15.00,99.75,0.25,400
30.00,5.65,4096.00,0.00,100.00,400
28.00,7.92,512.00,0.00,100.00,400
30.00,16.77,64.00,99.75,0.25,400
30.00,4.64,32768.00,0.00,100.00,400
30.00,30.00,12.00,99.75,0.25,400
24.00,4.64,32768.00,0.00,100.00,400
22.00,4.64,32768.00,0.00,100.00,400
28.00,5.65,4096.00,0.00,100.00,400
30.00,30.00,18.00,99.50,0.50,400
26.00,5.65,4096.00,0.00,100.00,400
20.00,4.07,262144.00,0.00,100.00,400
26.00,4.64,32768.00,0.00,100.00,400
24.00,5.65,4096.00,0.00,100.00,400
26.00,7.92,512.00,0.00,100.00,400
22.00,5.65,4096.00,0.00,100.00,400
24.00,7.92,512.00,0.00,100.00,400
20.00,5.65,4096.00,0.00,100.00,400
28.00,30.00,15.00,99.75,0.25,400
28.00,30.00,18.00,75.75,24.25,400
28.00,16.77,64.00,99.75,0.25,400
26.00,16.77,64.00,99.75,0.25,400
28.00,30.00,12.00,99.75,0.25,400
20.00,4.64,32768.00,0.00,100.00,400
28.00,30.00,9.00,99.75,0.25,400
28.00,30.00,6.00,99.75,0.25,400
22.00,7.92,512.00,0.00,100.00,400
26.00,30.00,18.00,63.75,36.25,400
26.00,30.00,12.00,99.75,0.25,400
26.00,30.00,9.00,99.75,0.25,400
20.00,7.92,512.00,0.00,100.00,400
26.00,30.00,15.00,78.50,21.50,400
26.00,30.00,6.00,99.75,0.25,400
24.00,30.00,15.00,79.00,21.00,400
24.00,30.00,18.00,64.00,36.00,400
24.00,30.00,12.00,99.75,0.25,400
24.00,16.77,64.00,95.25,4.75,400
22.00,30.00,18.00,47.50,52.50,400
22.00,30.00,15.00,72.50,27.50,400
24.00,30.00,9.00,99.75,0.25,400
24.00,30.00,6.00,99.75,0.25,400
22.00,16.77,64.00,87.75,12.25,400
22.00,30.00,12.00,93.75,6.25,400
20.00,16.77,64.00,78.25,21.75,400
22.00,30.00,9.00,99.75,0.25,400
20.00,30.00,18.00,32.25,67.75,400
22.00,30.00,6.00,99.75,0.25,400
20.00,30.00,15.00,56.00,44.00,400
20.00,30.00,12.00,87.75,12.25,400
20.00,30.00,6.00,99.75,0.25,400
20.00,30.00,9.00,99.75,0.25,400
