arrival_rate,bp_L,bp_H,FCFS_percentage,BAL_percentage,total_rounds
40.00,30.00,18.00,99.50,0.50,400
40.00,16.77,64.00,99.75,0.25,400
40.00,30.00,15.00,99.75,0.25,400
40.00,30.00,9.00,99.75,0.25,400
38.00,30.00,18.00,99.75,0.25,400
34.00,16.77,64.00,99.75,0.25,400
38.00,30.00,9.00,99.75,0.25,400
40.00,5.65,4096.00,0.00,100.00,400
40.00,30.00,6.00,99.75,0.25,400
38.00,16.77,64.00,99.50,0.50,400
36.00,30.00,15.00,99.25,0.75,400
38.00,30.00,6.00,99.75,0.25,400
40.00,4.64,32768.00,0.00,100.00,400
40.00,30.00,12.00,99.75,0.25,400
36.00,30.00,9.00,99.75,0.25,400
34.00,30.00,12.00,99.75,0.25,400
38.00,30.00,12.00,99.75,0.25,400
36.00,30.00,6.00,99.75,0.25,400
36.00,30.00,12.00,99.75,0.25,400
32.00,30.00,18.00,99.25,0.75,400
40.00,7.92,512.00,0.00,100.00,400
34.00,30.00,9.00,99.75,0.25,400
36.00,30.00,18.00,99.75,0.25,400
36.00,7.92,512.00,0.00,100.00,400
38.00,7.92,512.00,0.00,100.00,400
36.00,16.77,64.00,99.75,0.25,400
38.00,30.00,15.00,99.75,0.25,400
38.00,4.64,32768.00,0.00,100.00,400
34.00,30.00,6.00,99.75,0.25,400
34.00,30.00,15.00,99.75,0.25,400
38.00,5.65,4096.00,0.00,100.00,400
34.00,7.92,512.00,0.00,100.00,400
34.00,30.00,18.00,98.25,1.75,400
34.00,4.07,262144.00,0.00,100.00,400
40.00,4.07,262144.00,0.00,100.00,400
38.00,4.07,262144.00,0.00,100.00,400
32.00,30.00,9.00,99.75,0.25,400
32.00,30.00,12.00,99.75,0.25,400
36.00,5.65,4096.00,0.00,100.00,400
32.00,30.00,15.00,99.75,0.25,400
32.00,7.92,512.00,0.00,100.00,400
32.00,16.77,64.00,99.75,0.25,400
32.00,30.00,6.00,99.75,0.25,400
32.00,5.65,4096.00,0.00,100.00,400
34.00,5.65,4096.00,0.00,100.00,400
36.00,4.07,262144.00,0.00,100.00,400
34.00,4.64,32768.00,0.00,100.00,400
28.00,4.07,262144.00,0.00,100.00,400
32.00,4.64,32768.00,0.00,100.00,400
30.00,16.77,64.00,99.75,0.25,400
30.00,4.07,262144.00,0.00,100.00,400
30.00,30.00,15.00,99.75,0.25,400
26.00,4.07,262144.00,0.00,100.00,400
28.00,5.65,4096.00,0.00,100.00,400
30.00,7.92,512.00,25.75,74.25,400
24.00,4.07,262144.00,0.00,100.00,400
28.00,4.64,32768.00,0.00,100.00,400
30.00,4.64,32768.00,0.00,100.00,400
30.00,30.00,18.00,99.50,0.50,400
30.00,30.00,12.00,99.75,0.25,400
28.00,7.92,512.00,0.00,100.00,400
30.00,5.65,4096.00,0.00,100.00,400
30.00,30.00,9.00,99.75,0.25,400
30.00,30.00,6.00,99.75,0.25,400
22.00,4.07,262144.00,0.00,100.00,400
24.00,4.64,32768.00,0.00,100.00,400
20.00,4.07,262144.00,0.00,100.00,400
24.00,5.65,4096.00,0.00,100.00,400
26.00,7.92,512.00,0.00,100.00,400
36.00,4.64,32768.00,0.00,100.00,400
26.00,5.65,4096.00,0.00,100.00,400
28.00,30.00,18.00,94.75,5.25,400
22.00,4.64,32768.00,0.00,100.00,400
20.00,4.64,32768.00,0.00,100.00,400
28.00,30.00,6.00,99.75,0.25,400
24.00,7.92,512.00,0.00,100.00,400
22.00,5.65,4096.00,0.00,100.00,400
28.00,30.00,15.00,99.75,0.25,400
26.00,4.64,32768.00,0.00,100.00,400
28.00,16.77,64.00,99.75,0.25,400
28.00,30.00,12.00,99.75,0.25,400
20.00,5.65,4096.00,0.00,100.00,400
22.00,7.92,512.00,0.00,100.00,400
28.00,30.00,9.00,99.75,0.25,400
32.00,4.07,262144.00,0.00,100.00,400
26.00,30.00,15.00,75.50,24.50,400
26.00,30.00,18.00,67.25,32.75,400
26.00,16.77,64.00,99.75,0.25,400
26.00,30.00,12.00,99.75,0.25,400
20.00,7.92,512.00,0.00,100.00,400
26.00,30.00,6.00,99.75,0.25,400
26.00,30.00,9.00,99.75,0.25,400
24.00,30.00,18.00,61.25,38.75,400
24.00,30.00,12.00,99.75,0.25,400
22.00,30.00,18.00,58.50,41.50,400
24.00,30.00,15.00,76.75,23.25,400
24.00,16.77,64.00,91.50,8.50,400
24.00,30.00,9.00,99.75,0.25,400
20.00,30.00,18.00,26.50,73.50,400
22.00,30.00,9.00,99.75,0.25,400
20.00,30.00,15.00,59.75,40.25,400
24.00,30.00,6.00,99.75,0.25,400
22.00,16.77,64.00,81.25,18.75,400
22.00,30.00,15.00,72.50,27.50,400
22.00,30.00,12.00,93.75,6.25,400
20.00,30.00,12.00,84.50,15.50,400
20.00,30.00,6.00,99.75,0.25,400
20.00,16.77,64.00,77.25,22.75,400
22.00,30.00,6.00,99.75,0.25,400
20.00,30.00,9.00,99.75,0.25,400
