frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,393893.114121,157507.000000,0.000000
4,450304.875011,187414.000000,0.000000
8,183672.929208,85014.000000,0.000000
16,375066.654158,135577.000000,0.000000
32,196652.307045,87371.000000,0.000000
64,213051.745508,63251.000000,0.000000
128,643198.987063,217598.000000,0.000000
256,623310.491020,244874.000000,0.000000
512,303193.356967,114954.000000,0.000000
1024,637747.941058,262731.000000,0.000000
2048,836425.735465,269055.000000,0.000000
4096,298730.653678,86584.000000,0.000000
8192,474374.132861,141225.000000,0.000000
16384,472394.651277,62045.000000,0.000000
32768,1968686.668876,207264.000000,0.000000
65536,749776.380446,209199.000000,0.000000
