frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,313404.207371,241943.000000,0.000000
4,221235.283027,127964.000000,0.000000
8,124394.768282,50379.000000,0.000000
16,659799.667836,271130.000000,0.000000
32,480433.383738,166264.000000,0.000000
64,96726.541926,30854.000000,0.000000
128,463162.771964,179465.000000,0.000000
256,146872.449210,107583.000000,0.000000
512,574983.565872,246722.000000,0.000000
1024,748357.021251,284336.000000,0.000000
2048,605577.668741,246192.000000,0.000000
4096,257088.161645,114707.000000,0.000000
8192,159769.320816,50422.000000,0.000000
16384,668201.838577,288660.000000,0.000000
32768,358171.431287,115988.000000,0.000000
65536,717447.850892,240636.000000,0.000000
