frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,321326.660472,214420.000000,0.000000
4,170203.328108,75086.000000,0.000000
8,107099.678874,50738.000000,0.000000
16,535046.949908,258802.000000,0.000000
32,105756.238478,61278.000000,0.000000
64,90834.967584,33322.000000,0.000000
128,323654.195782,146698.000000,0.000000
256,497627.696108,284181.000000,0.000000
512,159362.682605,74813.000000,0.000000
1024,227260.139965,68437.000000,0.000000
2048,267684.434452,138684.000000,0.000000
4096,490315.666306,226657.000000,0.000000
8192,1127675.163108,341318.000000,0.000000
16384,452940.264827,154338.000000,0.000000
32768,748962.840086,259055.000000,0.000000
65536,349690.638995,149174.000000,0.000000
