frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,139033.540741,84787.000000,0.000000
4,150854.096398,59395.000000,0.000000
8,134478.257875,64023.000000,0.000000
16,596092.858262,200723.000000,0.000000
32,264910.964405,180950.000000,0.000000
64,192879.060631,93456.000000,0.000000
128,97348.164359,36581.000000,0.000000
256,627829.413322,279713.000000,0.000000
512,202350.089404,85307.000000,0.000000
1024,501894.302680,217327.000000,0.000000
2048,369637.473775,246496.000000,0.000000
4096,398921.456654,168613.000000,0.000000
8192,258070.148020,92565.000000,0.000000
16384,634124.034085,275301.000000,0.000000
32768,806631.977038,275487.000000,0.000000
65536,248326.027442,84384.000000,0.000000
