arrival_rate,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time
38,8.500000,262144,102861412.022311
38,9.800000,32768,99130813.946902
38,12.400000,4096,97578931.227491
38,18.900000,512,106829015.368106
38,56.300000,64,103999133.217603
38,60.000000,12,103057818.569249
38,60.000000,18,106362105.149239
38,60.000000,24,102745912.857290
