frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,357973.607118,225542.000000,55.154329
4,113424.642715,64327.000000,24.062419
8,182346.464827,101798.000000,33.511192
16,530997.524124,225329.000000,313.926743
32,124945.692519,73246.000000,475.544951
64,178840.319615,113011.000000,236.336624
128,575028.101892,262796.000000,510.033332
256,264712.132038,149617.000000,1289.389003
512,524661.381863,264296.000000,43195.756065
1024,778426.490498,287573.000000,67503.607022
2048,433326.618767,182812.000000,10938.230478
4096,508561.523922,255974.000000,154311.734330
8192,547870.858509,207784.000000,53969.736770
16384,555622.139834,187423.000000,297484.484310
32768,852468.596487,288267.000000,377371.232140
65536,617073.329052,293310.000000,305166.053708
