frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,138808.474176,119344.000000,0.000000
4,220179.306907,179704.000000,0.000000
8,98914.881449,78058.000000,0.000000
16,238792.840567,156271.000000,0.000000
32,110425.921332,82701.000000,0.000000
64,180640.955796,118902.000000,0.000000
128,327382.939488,221734.000000,0.000000
256,149022.807157,88736.000000,0.000000
512,274284.768423,174379.000000,0.000000
1024,107302.974875,85190.000000,0.000000
2048,393488.066547,302694.000000,0.000000
4096,272698.032248,167108.000000,0.000000
8192,616755.964009,291608.000000,0.000000
16384,129501.671723,84032.000000,0.000000
32768,176931.975883,80705.000000,0.000000
65536,566723.833974,333309.000000,0.000000
