frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,253553.420218,120960.000000,0.000000
4,340456.651114,166294.000000,0.000000
8,282227.857296,208756.000000,0.000000
16,410425.012075,215324.000000,0.000000
32,354176.771247,221366.000000,0.000000
64,494022.146548,231549.000000,0.000000
128,414494.443553,243331.000000,0.000000
256,674972.614953,299640.000000,0.000000
512,625110.496244,250100.000000,0.000000
1024,674927.367420,263736.000000,0.000000
2048,433674.871087,276342.000000,0.000000
4096,444031.715767,187774.000000,0.000000
8192,377509.295459,143494.000000,0.000000
16384,1431201.762187,237236.000000,0.000000
32768,1289044.488333,275549.000000,0.000000
65536,310234.162403,133145.000000,0.000000
