frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,98082.693647,49474.000000,37.000000
4,309910.635008,201347.000000,25.000000
8,230031.906989,126224.000000,91.667879
16,468079.022198,280670.000000,245.297778
32,424674.418732,198444.000000,165.453921
64,554253.403206,301845.000000,454.129937
128,340713.531968,242152.000000,101.793909
256,433152.876023,224409.000000,31252.139143
512,590777.854751,259114.000000,1190.472595
1024,246046.759810,125207.000000,59855.854509
2048,676439.463089,288222.000000,56138.181018
4096,628001.807473,191571.000000,142653.779691
8192,369306.423606,141445.000000,158963.489522
16384,556657.919094,238763.000000,219369.072729
32768,658548.119661,281670.000000,227764.594294
65536,1206969.326283,182881.000000,1181373.987919
