frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,491213.569499,295608.000000,0.000000
4,230547.479179,110529.000000,0.000000
8,433706.557128,275285.000000,0.000000
16,185730.446799,146381.000000,0.000000
32,445777.993285,273529.000000,0.000000
64,374956.500926,202804.000000,0.000000
128,449129.383956,269215.000000,0.000000
256,405106.332579,219812.000000,0.000000
512,261422.264622,182670.000000,0.000000
1024,656945.426549,267502.000000,0.000000
2048,555182.117689,276123.000000,0.000000
4096,618768.880912,163264.000000,0.000000
8192,818817.148836,247679.000000,0.000000
16384,538588.464443,207555.000000,0.000000
32768,732662.268343,247833.000000,0.000000
65536,1558598.379595,218738.000000,0.000000
