frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,995276.790622,42868.000000,0.000000
4,959325.155734,44674.000000,0.000000
8,614460.376378,42343.000000,0.000000
16,994251.622680,47218.000000,0.000000
32,1027767.667025,44658.000000,0.000000
64,1040791.060962,44409.000000,0.000000
128,1265747.882013,91727.000000,0.000000
256,1364444.373233,107299.000000,0.000000
512,1202592.789267,50526.000000,0.000000
1024,1387147.042553,136025.000000,0.000000
2048,785035.403018,40010.000000,0.000000
4096,1079838.195157,78939.000000,0.000000
8192,1178443.791801,48415.000000,0.000000
16384,1141679.194526,72220.000000,0.000000
32768,420702.775366,40315.000000,0.000000
65536,227753.714314,27910.000000,0.000000
