frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,613804.147169,38675.000000,185.617887
4,943085.280240,38178.000000,43321.228849
8,753962.566159,36298.000000,122.114700
16,660615.843205,38620.000000,27455.507444
32,986467.349377,38225.000000,3968.279854
64,1356487.124999,109358.000000,40906.896106
128,1120720.325098,44265.000000,66945.343901
256,1016987.416016,63970.000000,69499.628769
512,1292396.110949,104878.000000,196552.131403
1024,1216567.064044,67569.000000,234460.010187
2048,872550.026684,37214.000000,170168.647162
4096,1206045.534691,40100.000000,170611.867779
8192,1865719.817083,115517.000000,1225471.726436
16384,1089191.893004,52995.000000,346672.358005
32768,3482281.081996,228622.000000,2539529.442916
65536,2831040.261238,202139.000000,376025.929063
