frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,854316.188800,36286.000000,40.224371
4,602236.317419,38145.000000,6851.695921
8,774692.415277,38151.000000,389.693469
16,834193.613609,35537.000000,65.802736
32,674962.770498,42813.000000,596.741150
64,979595.145917,34682.000000,1007.105754
128,1024319.694985,37678.000000,39690.520493
256,1216302.618702,80408.000000,78297.363889
512,1250413.357204,94177.000000,116420.457601
1024,848577.966497,38168.000000,109680.962437
2048,1713626.124372,158153.000000,130027.638635
4096,1363140.827337,102643.000000,258861.463053
8192,2563462.889273,227896.000000,321356.751440
16384,2860734.443280,258836.000000,1293785.037938
32768,1304887.423342,68143.000000,344860.176474
65536,2412786.528213,211084.000000,1577997.175766
