frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,708318.484567,46155.000000,49.658836
4,404308.223749,40482.000000,22830.575332
8,927764.632580,43261.000000,793.509924
16,991423.517174,42971.000000,2557.239332
32,907505.715721,42447.000000,132.729047
64,1019687.576136,45634.000000,825.856525
128,1117811.746266,55967.000000,96545.623339
256,1245920.165493,107006.000000,132948.441837
512,1471841.755623,96663.000000,107772.026412
1024,1300428.092134,64482.000000,213248.528921
2048,1119237.254906,44192.000000,207642.780715
4096,1049719.670427,45611.000000,158242.048840
8192,449755.554709,45608.000000,157309.231716
16384,1410659.068864,97395.000000,524944.110541
32768,1890803.439955,173222.000000,896632.138020
65536,3249684.490371,202218.000000,1415329.406397
