frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,558035.765727,38144.000000,0.000000
4,708912.815518,41873.000000,0.000000
8,575891.243982,33493.000000,0.000000
16,647397.609976,37695.000000,0.000000
32,1081069.534365,35820.000000,0.000000
64,1058741.751236,40029.000000,0.000000
128,947012.604754,37450.000000,0.000000
256,1218064.814167,81795.000000,0.000000
512,1024664.389267,39752.000000,0.000000
1024,1272707.999996,85372.000000,0.000000
2048,983300.150789,35829.000000,0.000000
4096,2505797.623674,227610.000000,0.000000
8192,1066067.856512,46742.000000,0.000000
16384,774921.728113,39114.000000,0.000000
32768,3543113.742817,214055.000000,0.000000
65536,1345579.169685,92595.000000,0.000000
