frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,935042.969251,33523.000000,10408.852434
4,938969.509992,29841.000000,23738.951872
8,904578.974616,28876.000000,21994.868970
16,1688944.066394,56105.000000,54583.663948
32,1698037.145062,56174.000000,5012.998005
64,1799112.718968,64375.000000,92166.879040
128,1537125.683334,54963.000000,30370.262511
256,1739521.311247,52606.000000,153852.562413
512,2282668.154790,68301.000000,44740.119557
1024,1544784.257360,50348.000000,56606.518326
2048,1166039.494820,42925.000000,251219.528920
4096,2571673.429938,80205.000000,784117.274360
8192,1982895.675631,69201.000000,910806.270326
16384,3091678.516706,110758.000000,2121936.194936
32768,4350161.569936,141792.000000,1339730.764003
65536,2900654.625642,102446.000000,2460302.229576
