frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,444187.603569,20556.000000,875.586089
4,1150427.472510,56727.000000,13376.729346
8,747850.177361,33416.000000,9859.168220
16,1234963.032615,44849.000000,30387.054974
32,1835575.245737,61841.000000,86207.632139
64,2026683.727415,73965.000000,55078.748860
128,2104234.040659,80048.000000,145620.193631
256,1692005.352832,65259.000000,167263.736581
512,2418274.744401,81729.000000,392398.400878
1024,2616869.579177,94892.000000,618685.409543
2048,1586746.368422,62419.000000,126656.163375
4096,2125097.884079,80816.000000,799408.742156
8192,2316485.998020,89110.000000,1094392.168589
16384,2317604.675842,74645.000000,1202593.575647
32768,5091059.687399,162295.000000,1916714.259500
65536,178454.632406,13031.000000,0.000000
