frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,657366.782307,22990.000000,13690.922211
4,721652.124469,26943.000000,6502.000000
8,302206.026204,15075.000000,5512.947397
16,1330574.135224,51724.000000,6346.670229
32,1069376.391326,33966.000000,35956.781933
64,1549917.544884,59061.000000,744.061153
128,1530236.793634,53428.000000,17910.611408
256,1778785.480736,72587.000000,96006.327771
512,1516566.051057,45185.000000,121682.125787
1024,1896654.311615,66891.000000,165506.297536
2048,2046601.554997,76931.000000,191636.921443
4096,2660001.713117,82691.000000,368761.730375
8192,2895975.355573,83708.000000,896962.435534
16384,1840695.729211,70793.000000,435379.486956
32768,2901015.511375,80611.000000,805818.450527
65536,2751617.636465,81906.000000,1615301.105107
