frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,280835.198503,13578.000000,11903.187262
4,1081632.178135,46787.000000,7143.733898
8,1136762.952524,40855.000000,29024.042310
16,1779227.586945,69679.000000,59471.053858
32,1135160.320308,44550.000000,8694.138428
64,1693276.177142,59285.000000,15101.899251
128,2088019.471554,71716.000000,105775.303308
256,2085431.961564,81465.000000,181886.005943
512,2556766.926941,89872.000000,122088.206691
1024,2135211.915216,74751.000000,343130.470996
2048,2466743.723674,82373.000000,461305.007636
4096,2431179.305159,80349.000000,380189.222235
8192,2771993.425389,104925.000000,1818812.988207
16384,5265805.613635,164548.000000,1543967.249195
32768,6824279.510390,188182.000000,5215278.343110
65536,3169229.919845,97975.000000,2035126.751119
