frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,1125651.874113,34402.000000,26650.465568
4,1121348.368401,42851.000000,34183.164131
8,1208403.255663,42908.000000,26237.222242
16,1009238.689061,38543.000000,29094.410013
32,2177593.722670,81157.000000,63816.588431
64,1701688.283004,69400.000000,62239.759246
128,1574258.271702,54506.000000,61439.280758
256,2846196.135919,102036.000000,174831.822055
512,2334175.555564,74838.000000,230495.328486
1024,2426906.429480,92055.000000,570361.308899
2048,2335992.217526,83315.000000,495191.142202
4096,2624705.880925,81608.000000,630789.205828
8192,3663100.412536,126406.000000,1492676.361296
16384,2329769.809626,93628.000000,982700.074375
32768,531270.275213,31835.000000,449310.762829
65536,1833613.729710,63767.000000,0.000000
