frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,913270.812919,34162.000000,13934.375946
4,988667.314714,36797.000000,6531.937385
8,759646.804485,31532.000000,24171.530671
16,1071714.283555,40747.000000,16416.262821
32,891455.264606,37493.000000,14959.186108
64,1284810.316090,50160.000000,116688.715427
128,2222826.343226,81378.000000,189088.035706
256,2305266.656240,85895.000000,223851.249436
512,1403437.709076,51636.000000,138300.841035
1024,1894816.598669,64615.000000,171390.600830
2048,2937194.997363,108806.000000,544240.314190
4096,2510001.448131,86744.000000,866023.083510
8192,1788260.616370,58021.000000,779287.054781
16384,2253107.459297,84420.000000,825590.566451
32768,1335653.871941,48271.000000,655090.755709
65536,5104068.496720,149925.000000,1655520.409242
