frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,712404.278586,30323.000000,436.371401
4,640259.455504,25486.000000,16701.761943
8,1241007.697591,40612.000000,2880.307622
16,1485670.838231,54685.000000,40451.485004
32,1086158.070834,33905.000000,37016.724099
64,454860.894196,18386.000000,1313.027799
128,1720329.010178,64713.000000,163172.460100
256,2045610.429874,66591.000000,89794.868161
512,1980966.050654,69441.000000,186261.415116
1024,1825401.585576,76162.000000,54445.101175
2048,1647373.283172,51673.000000,422385.105905
4096,2364421.567706,75304.000000,398574.486889
8192,599396.127077,27229.000000,63271.854722
16384,1492042.920201,47144.000000,357673.715179
32768,1017297.428249,45547.000000,945996.374494
65536,5843847.262355,156593.000000,2841856.303932
