frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,520007.667301,228450.000000,1257.928456
4,355221.588718,85966.000000,57.175169
8,372912.344364,208234.000000,804.735360
16,11114603.993031,341030.000000,256865.342137
32,4044775.010111,179385.000000,94252.097303
64,557085.881828,109766.000000,76556.188450
128,364738.491259,122985.000000,1743.488457
256,139245.471679,62320.000000,33580.723220
512,128011.957231,32803.000000,21296.286437
1024,508253.790850,72963.000000,25484.880518
2048,107878.150679,35460.000000,29167.019525
4096,313483.220588,175099.000000,28315.285607
8192,203533.753336,70026.000000,50626.726064
16384,391661.941711,143798.000000,299294.730480
32768,475973.280239,169818.000000,195382.847476
65536,68097.709418,25017.000000,43743.213782
