frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,777157.955541,148740.000000,295.895252
4,167034.728296,55752.000000,1829.496652
8,2397938.990704,229136.000000,199.424171
16,233877.489879,149441.000000,596.480511
32,213556.762976,114228.000000,451.531837
64,5867787.393615,199493.000000,682195.054667
128,194892.063527,99904.000000,1061.154089
256,528967.129533,285352.000000,1739.699112
512,388624.834963,233421.000000,20116.713350
1024,715519.123553,193951.000000,8803.665714
2048,171064.220733,37205.000000,16122.435145
4096,1230120.958389,254368.000000,12238.889941
8192,663780.590477,208552.000000,494211.887565
16384,543837.562393,240505.000000,317995.553444
32768,949438.836876,106779.000000,134271.171980
65536,574517.635610,381281.000000,439181.075669
