frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,262482.217506,51919.000000,2027.072520
4,106118.063934,49423.000000,207.730595
8,125359.069676,45729.000000,226.019911
16,400080.860741,253834.000000,987.517595
32,749538.856170,92307.000000,78134.397105
64,227897.511821,56909.000000,1903.676180
128,139861.285483,28236.000000,144.384902
256,439102.742141,216763.000000,3508.987746
512,197645.125804,52110.000000,8854.476382
1024,471541.819831,202754.000000,3841.699624
2048,782887.370626,184259.000000,45196.107476
4096,262345.883941,91349.000000,94692.776731
8192,196454.009979,75172.000000,57233.396693
16384,688450.223887,275301.000000,528199.766882
32768,527072.308970,275487.000000,165574.194716
65536,174403.277200,81033.000000,12753.252762
