frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,253897.814329,111505.000000,3977.103720
4,603131.706687,94627.000000,1076.300144
8,190932.224040,56030.000000,392.993639
16,173413.473297,31462.000000,1448.997585
32,213620.193591,39743.000000,809.450431
64,508760.557031,106500.000000,5627.588205
128,187760.956066,95137.000000,2071.989865
256,132024.099156,34443.000000,1514.006605
512,185538.925164,90807.000000,51835.307745
1024,374558.284039,255081.000000,147349.261009
2048,653995.532017,72208.000000,60144.021498
4096,235124.313790,41038.000000,26396.009528
8192,88565.575575,37035.000000,29725.076232
16384,501163.513547,141663.000000,205049.285422
32768,14611694.375661,368549.000000,124510.315103
65536,1169984.040959,197332.000000,419389.298113
