frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
2,115948378.330914,2321152.000000
4,118672309.360291,2224081.000000
8,119006297.796121,2206909.000000
16,116594063.189407,2202271.000000
32,120013251.280518,2244255.000000
64,119511797.308973,2241419.000000
128,120454708.413994,2170759.000000
256,120797589.870478,2258176.000000
512,128718254.985035,2287957.000000
1024,118394004.690505,2217981.000000
2048,112881445.408631,2145091.000000
4096,119231778.302357,2271475.000000
8192,126294344.046314,2426353.000000
16384,143324919.446528,2353388.000000
32768,164420631.055361,2177370.000000
65536,75824711.619893,1492230.000000
