frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
2,118226909.584468,2318251.000000
4,115961939.462746,2134479.000000
8,115898117.135129,2167940.000000
16,118764679.669408,2190913.000000
32,120845033.278467,2235297.000000
64,121197117.690379,2187498.000000
128,124842272.200901,2318851.000000
256,119661656.660845,2205619.000000
512,122747105.685727,2269875.000000
1024,121551690.190129,2315975.000000
2048,130875601.776972,2405876.000000
4096,111185417.829481,2191910.000000
8192,128094122.366398,2220507.000000
16384,124525850.208802,2268045.000000
32768,94615807.087744,2179695.000000
65536,171012649.335102,2458864.000000
