frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
2,116385758.136548,2267025.000000
4,117201557.668829,2428944.000000
8,117793043.876909,2449655.000000
16,119369581.122801,2215987.000000
32,123182006.339157,2183215.000000
64,121941582.211916,2225813.000000
128,118520252.580562,2231544.000000
256,119631837.044046,2279590.000000
512,119916050.760324,2235886.000000
1024,125423450.974336,2266864.000000
2048,113485377.321072,2171616.000000
4096,121964144.119375,2329306.000000
8192,116969250.536007,2098206.000000
16384,130046224.031672,2257131.000000
32768,129524246.992122,2337025.000000
65536,105923954.365624,1967878.000000
