frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,19440397.206084,600831.000000,520944.280289
4,19603917.288019,601091.000000,487001.461502
8,1904869.013881,302794.000000,233.858932
16,34550725.876796,892185.000000,756115.517332
32,1952337.548697,285055.000000,1366.972933
64,1737880.108249,272342.000000,2528.212214
128,20002971.984806,588377.000000,1452676.006193
256,35008573.509085,892692.000000,2998021.567910
512,3160658.751494,291794.000000,499919.017084
1024,2358379.018083,289229.000000,93664.510526
2048,34757693.581919,890382.000000,6131954.649384
4096,20321918.542709,595483.000000,5521535.102567
8192,34574908.335648,894240.000000,10225138.271695
16384,34179694.716240,900627.000000,14116258.443239
32768,35071989.712260,904907.000000,11271639.218278
65536,4288988.811328,237944.000000,3393562.938738
