frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,34867325.165070,897862.000000,556067.484212
4,19786800.628281,604264.000000,191396.028099
8,34336621.828988,888304.000000,892081.061280
16,34287024.975892,894240.000000,213166.319232
32,2410644.521469,300083.000000,88559.920009
64,35054318.655041,893365.000000,2261252.558781
128,19774182.648887,600866.000000,612082.169531
256,34881529.384184,896707.000000,3255341.171536
512,20464081.918886,593155.000000,2345034.735726
1024,35189182.061148,894484.000000,4323891.176669
2048,2401579.991866,204987.000000,149997.873412
4096,1869910.425086,292562.000000,657151.086833
8192,1096894.581450,190081.000000,88619.783373
16384,322475.811429,61126.000000,0.000000
32768,1775715.599455,129459.000000,496399.763181
65536,36268986.468110,881195.000000,16024634.057272
