frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,19588428.113968,600567.000000,469981.774646
4,19604954.880682,599960.000000,498027.995499
8,1011915.629691,291939.000000,596.726906
16,20086682.034361,604275.000000,559306.092198
32,34503631.705514,890454.000000,1263855.465196
64,19884396.134934,599005.000000,746717.002860
128,35361235.026767,900711.000000,2752799.894470
256,20056002.633937,593219.000000,922313.097973
512,35320516.510009,901093.000000,3708298.890132
1024,34870640.529712,901584.000000,4386258.197243
2048,19861923.224280,597640.000000,2554210.886784
4096,19334937.500845,563956.000000,4832408.015925
8192,20354104.754516,596602.000000,8473400.205434
16384,2219195.802629,290661.000000,564718.864174
32768,35657478.289466,899635.000000,16552328.130039
65536,2274726.522407,185758.000000,2067858.664346
