frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1220596.342062,287311.000000,88.238314
4,19618563.772092,592920.000000,266835.012221
8,34114560.575713,890991.000000,681792.978320
16,20087240.084365,598289.000000,287711.315752
32,34586017.631096,897663.000000,1334746.246449
64,19740209.550776,597452.000000,989885.062699
128,35040248.765862,902671.000000,1357791.965932
256,3361854.145470,295236.000000,523008.348821
512,35487314.810392,899494.000000,3473732.630903
1024,2437032.240056,282290.000000,210416.273762
2048,2365575.564147,298055.000000,432798.270466
4096,34526191.809428,875149.000000,5067830.812903
8192,20234646.406971,602238.000000,3229258.713179
16384,19619245.557516,570117.000000,9051959.561685
32768,33774353.099313,893344.000000,11771984.168701
65536,20265851.999123,603836.000000,7973714.379710
