frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,866224.654079,206388.000000,1815.774766
4,34944589.466729,890565.000000,456633.996453
8,19716958.902795,601006.000000,281612.401215
16,19613878.212956,599570.000000,241547.042847
32,34971258.449358,893664.000000,1121999.637218
64,35146417.361117,890262.000000,1765665.573266
128,2261460.256541,263878.000000,1397.727441
256,35199032.420046,896478.000000,3802148.042585
512,20060780.597683,598930.000000,1824320.025289
1024,20348857.213708,584423.000000,2036960.159793
2048,35399599.664174,897536.000000,4919517.127886
4096,20361504.503260,600206.000000,4888813.394174
8192,18199729.254875,596126.000000,1794407.729982
16384,34620407.082806,904081.000000,6352575.776146
32768,18521316.218138,558857.000000,7058667.744943
65536,3927213.134211,250045.000000,2389653.399879
