frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
64,74731.684947,48539.364252,47375.715393,46322.433550,46320.580901,46220.740593
8,311242.109339,163153.937455,69044.322040,69076.635768,69072.686461,69271.524857
8192,122069.177084,72881.902493,62797.308469,62798.197840,62763.851802,62722.368251
256,367578.121839,77330.448874,73222.756599,72919.286317,72927.938048,73268.836349
1024,155016.822584,141808.723120,138288.492489,138337.273538,139736.591961,138280.170907
4,170072.825610,49806.300073,49478.845975,49250.673711,49290.472720,49484.459146
16,138259.490705,60781.533117,51297.993499,41808.775132,41806.960270,41768.900943
32,117416.017872,60713.211717,47732.295912,47715.881811,74245.269223,47731.658069
128,275122.361527,93943.262968,55466.613327,57247.574481,59863.762144,55464.168280
16384,184669.910413,101470.495697,68908.705851,69117.553197,69163.114266,68915.221454
65536,398278.066510,282215.705376,254181.055272,254170.106999,254240.208736,254172.806744
2048,491236.889288,135874.131773,135869.100498,135845.151967,137106.533768,135861.879378
2,365588.634352,167184.035066,69231.679035,69300.015952,69328.276028,69224.996309
512,191540.756297,79428.667048,79399.473953,79395.351533,80977.602595,79676.364344
32768,539091.068014,390146.496125,310711.667692,318138.264682,318137.521192,310494.768206
4096,1061880.919796,703239.440103,243602.461886,243457.909105,243451.913626,243462.761005
