frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
4,421447.289561,413196.290690,433709.906971,477233.828018,482604.320746,482850.528182
32768,1349309.832621,1346976.940664,1347164.358678,1340371.728424,1339574.451423,1370015.751446
1024,733801.924654,701639.830925,726399.397920,785338.999815,798132.293080,905060.716465
512,834728.319059,865298.165878,864268.227074,875549.705986,951849.461800,987250.082457
8,701783.413465,720598.270302,725184.764037,751547.860048,777949.493062,778166.532080
2,514963.209840,508495.298066,544669.825072,534899.427550,569699.074125,571081.436011
64,956264.278234,953291.700750,1057327.841741,1089679.747134,1096537.898106,1103334.478809
128,444256.146561,465563.650405,491809.064460,491809.062496,491771.361921,491809.056376
16,812617.883958,814927.284857,845790.592918,897361.841892,906666.246477,906793.192270
32,1149781.083938,1135167.441816,1211550.564354,1241282.681064,1247539.677821,1247652.675661
256,1099330.574886,1191913.522870,1221577.017673,1246626.927214,1260049.481964,1279596.807269
2048,784472.648881,834520.185284,842196.558579,845438.753827,798097.236808,1014988.301527
16384,1237715.690903,1228666.668115,1235032.182348,1226145.788356,1318491.664111,1318472.485512
4096,843879.179398,875589.711668,902112.080983,975809.671939,1009924.552433,1010565.447010
65536,3011945.976523,2996187.717009,2972305.375124,2967679.036117,2968144.579186,2798392.194338
8192,1003566.286960,1007064.032687,1061576.638120,1076952.246837,1104126.068875,1288012.291171
