frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
2,153717.682737,156159.714411,163932.218008,168927.148694,166653.351676,168927.148694
8,621903.100364,618604.009757,688340.548869,692039.737019,690768.831006,692113.324403
65536,327543.515318,301589.161345,265264.626843,247447.548499,241428.843012,399943.188789
1024,356385.176859,366815.635275,372672.869762,385566.172280,414100.395833,414462.056221
4096,267343.212584,270975.917303,262367.926607,286883.013084,307981.559403,324187.039127
32,662594.862119,677688.255114,712370.283730,750481.698817,750332.245326,750552.835571
64,849123.177226,897848.226537,937326.911544,962128.352614,961917.615607,962108.096530
4,532444.719459,538312.843798,564988.989496,585373.780767,593749.192010,593865.738801
512,759091.404857,731870.529372,767567.676690,803138.063201,754856.654582,865937.900883
16,692469.499174,737036.253116,766103.298985,782468.719179,788301.326499,788499.682148
128,993509.868124,1004371.481341,1023392.115873,1070643.329814,1188176.280000,1185032.537893
8192,890696.578611,878148.581671,929727.493386,1018048.577234,1119678.335592,1205271.827956
256,1015120.145093,1037156.282097,1089246.512332,1145281.042145,1216424.512392,1218473.131714
32768,1378286.732118,1363436.653314,1386368.318538,1415137.432749,1575692.305718,1971003.172785
2048,1050639.055237,1050175.623038,1144310.132034,1187302.339679,1226173.225055,1274395.676056
16384,1411787.641383,1381119.113641,1361804.397323,1386690.961860,1367934.393595,1671865.922204
