frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
65536,83133.857808,83565.072698,83289.898733,82053.490895,79549.166092,87054.372722
8192,584993.310178,565498.570821,574152.541241,597690.859436,500001.641529,743597.098697
32768,798102.771362,743484.449683,735155.074186,715983.369326,673509.618005,606540.036150
2,491254.423395,502380.482657,523563.442894,521908.695521,532039.626400,532048.210120
16384,189865.988545,165318.448266,165189.800384,165059.992054,152763.101392,244017.756333
128,823507.924752,846778.301885,904586.499282,902870.620478,955801.771886,956719.209757
4,995983.098393,1046876.321366,1091114.787762,1117076.635362,1122768.922567,1123060.443165
512,932726.829338,948293.795422,993465.748802,1048032.037740,1074987.238868,1123149.023207
8,836425.741852,909950.841655,929098.683793,928535.654608,930291.679980,925066.419731
16,1031729.305633,1178754.355671,1223722.197511,1258137.703452,1309339.053770,1320772.852849
64,840061.094690,856484.193362,897290.228044,925650.471587,925406.789844,925650.471587
32,684882.919282,695837.101657,723770.768110,740007.147165,739110.980489,740476.156012
1024,998590.079732,1038810.299238,1073081.820596,1097296.154539,1099154.170467,1099738.250903
256,898109.201070,949344.656048,973980.488968,1025508.398054,1023323.028534,1025778.453982
4096,1575758.031915,1570212.798337,1622788.635521,1698832.590479,1824725.398659,1860785.966444
2048,1872792.277102,1868136.283601,1939643.814496,2009466.790937,2094970.483948,2305941.465936
