frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
256,202616.017380,49289.028627,49276.321464,49270.349674,49270.679537,49263.100278
4096,235539.318675,167068.545989,39756.375866,39779.796530,39688.061354,39752.419788
65536,390494.114819,243299.099002,99611.798111,99640.068863,99661.111794,99605.917982
16,311600.271765,63594.886335,63006.541018,62993.814109,64856.127105,63003.356553
2,148969.240107,115386.186409,49702.210776,49739.269637,49755.688650,49690.318524
32768,527078.281714,54467.362163,54471.779896,54467.477305,54477.198028,54487.922662
4,374893.363560,71022.266699,71027.872332,71023.089584,71050.444320,71028.349439
64,189667.782683,99811.995456,48303.903641,48413.209231,48275.795012,48357.925059
128,426570.752822,51646.252342,51498.369421,51619.364506,51647.553882,51670.201325
8192,483228.591990,109626.485915,55137.865174,55134.688890,55115.717014,55139.442435
16384,625386.395539,349337.018914,98509.263605,98547.167072,98607.423280,98633.848683
8,1013580.072098,94296.502782,94161.505670,94201.568145,94918.189711,94103.798010
32,368453.787615,61529.372612,61548.659409,61554.179639,61536.295940,61507.639395
512,559132.229941,83037.573375,83036.725863,83020.368718,83014.260124,82968.415316
1024,303306.753179,55669.019796,55536.634414,55578.595214,55873.672843,55650.946704
2048,119381.191722,58895.336148,46057.578453,46051.153959,46057.643904,46062.038155
