frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
4096,124440.914429,32853.848679,33343.635330,32870.965258,32853.372095,33370.250479
65536,811208.014536,118381.744040,118390.305431,118413.749620,118450.729639,118444.787914
16,222270.164579,46537.458246,46585.840885,46583.683206,55917.783048,46629.263784
32,137298.166262,38655.136360,38706.593508,38697.683186,40381.088965,38697.235043
8,438002.789765,92182.888380,92360.497471,92379.697894,92133.170867,92162.929652
1024,221452.531672,70050.801887,89515.674801,91752.481253,91726.177136,70035.796412
32768,111216.303962,55511.985499,55486.658856,55481.896985,55510.612094,55502.343806
256,307621.063881,102518.225414,44565.188556,44543.931663,44545.291379,44525.140831
8192,72829.122197,35711.417726,35734.411958,37861.917067,37938.389383,35727.190892
16384,1820553.811878,1309064.937316,181614.968843,181754.246264,182402.479057,181473.718119
2,173945.601658,173930.858912,173924.642788,173792.111386,173971.625344,173953.956109
64,1113929.213381,492935.862711,115840.367385,115843.106731,115842.977612,115710.459657
4,1664920.797057,854189.518061,734904.497844,199883.219643,199929.992928,199904.671514
2048,380126.254001,53652.293353,53625.511382,53632.075365,283441.437466,53390.608125
512,336958.695725,48509.236801,48498.921318,48435.673186,70271.045168,48498.862915
128,1231744.940610,881551.780722,118177.685745,118178.300009,118176.390595,118173.960169
