frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
4,390479.048634,84866.019024,83884.504844,84664.356981,83869.899291,84868.081644
32,268944.383267,100810.662492,72736.745555,72667.438189,83509.880050,72755.916935
16384,153719.154034,112679.160837,91120.359426,91279.617599,91126.010831,91101.029802
65536,602783.891023,444763.248314,391928.547175,391943.472360,391945.037833,391938.437314
8,180502.303002,53377.044514,53440.483484,53266.727617,53336.699045,53421.241131
64,121302.493115,52497.212545,50502.405448,50518.369748,50572.849514,50452.651536
256,259875.193318,154238.169157,69734.940690,69742.477931,69730.396098,69741.977331
2,230709.488312,79872.973452,79868.301541,79884.170409,79885.438560,79850.390550
512,390421.548136,297274.523765,126116.249064,126135.572663,128050.997439,126146.678490
4096,487756.283181,242890.792296,242879.820846,98299.829008,98257.176232,94433.356448
2048,197327.197421,142898.516794,59256.602172,59237.698554,63989.935123,59252.217866
16,302353.647208,119938.132643,72995.399150,72477.470879,83390.600681,71254.076136
32768,901723.468902,508970.450821,354695.879904,355025.844265,354694.035930,354672.524011
128,434803.169558,174611.088769,115970.561687,115897.123894,139008.202182,115746.520051
1024,405717.305608,241195.414293,131890.979278,78024.235690,88060.401055,78049.986201
8192,636057.889931,339558.601984,235464.468328,235437.303996,235421.682651,234241.990442
