frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
4,268192.026213,267408.540567,287678.913631,296223.005965,296188.856153,296488.899770
65536,109276.307633,104637.803833,100382.327439,102216.567527,103654.911485,229473.794824
2,299229.099974,309792.587413,312536.798897,329209.732592,336900.142372,338729.894555
16,438230.141029,450588.543099,459008.561763,474035.544506,493220.719654,493199.508061
4096,643260.505870,718537.384210,695256.705639,765544.348984,817159.879869,899579.532207
512,838373.931451,843904.905555,928665.387419,987488.771361,1015711.669750,1016824.828188
256,797003.136802,822046.393303,853721.129009,883534.542395,925533.199395,926030.665941
128,958669.889458,1007455.353508,1043243.370962,1049129.208541,1048634.606750,1049247.188369
2048,1183640.582098,1210409.813458,1265667.375424,1309810.484345,1423601.617004,1424952.449813
32,619977.809773,616578.748840,651070.394348,662525.264730,694664.554961,694640.051984
16384,1183016.688351,1157770.312758,1212244.238471,1191142.675524,1302229.393453,1324407.675808
64,766153.573629,783889.674746,808503.869051,847644.183326,847522.696922,847750.490235
1024,636609.417235,666565.451503,678335.549887,694321.149139,730410.089865,745218.998290
8192,1025099.251942,1071955.896039,1133977.031166,1127663.167907,977722.660413,1742528.101946
8,948786.336907,1006001.968029,1009246.711362,1019106.808686,1025703.941360,1031176.423817
32768,2107693.704123,2088594.403322,2127287.403834,2135639.269247,2237405.680571,2770331.291507
