frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
32768,26561.390363,27347.017369,27611.697195,29892.081326,30882.470254,33598.274167
16,458670.308862,467120.452084,482510.459457,513616.003160,514631.670742,514645.102628
128,707844.211994,717962.815418,749618.155767,750206.549800,753633.399314,753754.961409
4,435575.353343,471846.720911,487351.511007,492045.194701,494393.445493,494467.489936
64,536123.659684,568168.810324,593938.346736,608011.601671,607729.408060,608840.258223
32,758984.712297,779102.784087,817363.831119,837996.883766,833542.018022,837997.963711
512,876203.819797,934774.156373,1008140.222692,1064623.490394,1063812.004907,1064623.490394
8192,1247278.234651,1248818.604606,1284260.746474,1295159.632833,1341803.048647,1378848.905522
8,742766.747615,757112.062074,762416.707828,800761.659133,809188.801406,841374.919465
1024,788511.539233,823020.129040,828257.043155,826077.894290,829220.350175,963587.714142
256,1040949.895338,1034725.887291,1044909.412994,1086842.884304,1112329.259542,1168570.514012
4096,960914.665753,1012407.870229,917764.309575,950926.868845,901907.776024,1370443.423725
2,785124.487045,813111.502958,830015.295990,839597.009299,842574.439288,845280.653553
16384,1431290.274299,1422521.415387,1388764.024757,1476601.297076,1540198.665152,1659302.729607
2048,1758545.886323,1767325.636240,1690501.420944,1916724.548086,2063521.475852,2193478.341110
65536,2570300.119107,2350172.214996,2228825.270479,2190899.193278,2061421.805609,3251469.525824
