frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
32,272416.310373,133476.862006,77528.044758,77538.941758,77498.849740,77532.671030
1024,153885.868266,81620.462728,79982.003251,79975.064945,79986.384710,79976.304716
256,297818.305581,89869.090576,84223.891153,84574.519000,84582.562305,84232.151860
512,100478.904731,55742.871670,44483.517374,44480.130868,44472.350309,44473.580821
128,224410.016461,71537.507896,68550.926835,68406.633392,85992.911185,68220.076393
65536,211791.560795,84828.107588,84822.952106,84780.632317,84762.568301,84769.005079
16384,88595.696944,61542.846652,61310.152985,61288.227532,61451.329701,61307.643797
64,110920.456139,48072.376746,48016.880074,48016.329941,48011.919874,48071.689974
32768,108097.652879,141224.094630,94631.746317,90314.704035,89857.802199,89815.916824
8,173691.173869,171218.348158,78554.993578,78100.400044,77494.020221,77481.165840
16,220753.416211,57198.809358,57205.793465,57204.774774,61435.906545,57229.095065
2,407793.439004,83988.751765,84852.090287,84761.940357,83984.865041,83969.265824
4,327145.023806,142068.492672,59864.213976,60591.280709,60280.112516,59862.548342
2048,662186.253545,300509.251358,144307.976945,144130.581460,150454.065728,144209.981198
8192,392317.740664,251463.470840,93054.150746,102538.247308,111283.943527,93074.424597
4096,923506.171777,402044.378079,394893.403098,202296.106747,202008.842836,194653.943716
