frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,583288.708704,282957.000000,57.245087
4,138769.159351,71442.000000,148.791801
8,206542.958965,142763.000000,90.365923
16,255943.649605,159086.000000,506.733658
32,551143.720973,279501.000000,197.962118
64,628965.772008,263581.000000,977.423654
128,825019.049236,276097.000000,1792.962353
256,519146.517692,228250.000000,1549.243364
512,774680.923536,262354.000000,16249.028371
1024,473386.228280,139142.000000,79296.673209
2048,849000.245001,272870.000000,111486.069430
4096,280382.436440,78968.000000,31926.312471
8192,781431.919504,261123.000000,574657.018187
16384,612085.623647,101323.000000,238936.660615
32768,1048088.472977,176446.000000,452223.021896
65536,901469.714221,238088.000000,560494.190861
