frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,174523.975075,80811.000000,0.000000
4,281146.298574,119732.000000,0.000000
8,571570.179741,276896.000000,0.000000
16,137254.777287,62995.000000,0.000000
32,342567.419172,116611.000000,0.000000
64,637424.680652,251581.000000,0.000000
128,585292.739806,279554.000000,0.000000
256,701539.963962,297915.000000,0.000000
512,808247.067007,257654.000000,0.000000
1024,861228.054845,290585.000000,0.000000
2048,227040.435832,135564.000000,0.000000
4096,575416.800384,270949.000000,0.000000
8192,517842.634260,224161.000000,0.000000
16384,1074662.107171,233995.000000,0.000000
32768,773447.006397,139144.000000,0.000000
65536,579117.399835,168896.000000,0.000000
