frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,294640.737452,173456.000000,109.622078
4,438368.943031,188732.000000,39.458839
8,456475.522348,194576.000000,664.246942
16,463437.315632,202953.000000,610.160635
32,443111.050943,160811.000000,339.923521
64,990153.317647,298992.000000,299012.974514
128,488229.143876,266341.000000,2676.713096
256,527135.500435,273590.000000,4206.909317
512,514158.820692,267203.000000,59093.550638
1024,638708.351605,245473.000000,16832.181231
2048,598191.136931,225132.000000,26919.577578
4096,497350.592212,249419.000000,201887.776354
8192,763602.787154,255980.000000,246730.423454
16384,600471.960822,213146.000000,111570.654238
32768,953966.860317,213828.000000,757914.701057
65536,690394.416026,244858.000000,585245.902574
