frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,109363.156726,101250.000000,0.000000
4,432904.963398,390619.000000,0.000000
8,43252.769981,23752.000000,0.000000
16,88372.517368,60627.000000,0.000000
32,323851.031067,209084.000000,0.000000
64,560665.231727,340159.000000,0.000000
128,162444.947921,110097.000000,0.000000
256,112861.034640,88469.000000,0.000000
512,354225.358316,224704.000000,0.000000
1024,227673.768638,198763.000000,0.000000
2048,179734.249377,130338.000000,0.000000
4096,98566.554404,62316.000000,0.000000
8192,352809.015841,193091.000000,0.000000
16384,474246.403192,258436.000000,0.000000
32768,122253.271817,66590.000000,0.000000
65536,210490.633556,112541.000000,0.000000
